Sport,Year,Manufacturer,Athlete,Number,Description,Grade,Certification No.,Purchase Date,Purchase From,Purchase Price,Sold Date,Sold Price,Sold Payment Received,Expenses Shipping,Expenses Grading,Expenses Fees,Profit,ROI
,2023-24,Prizm,Kobbie Mainoo,,Disco RC,,,5/3/2024,eBay,$7.32,,,,,,,,
,2020-21,Topps Living UCL,Eduardo Camavinga,240,RC,10,,5/5/2024,eBay,$20.81,,,,,,,,
Soccer,1996-97,Panini Calcio,Alessandro Del Piero,131,RC,,,5/5/2024,eBay,$16.89,,,,,,,,
,2023-24,Prizm,Bryce Young,PJ-BY,Premier Jerseys Silver,,,5/4/2024,480 card show,$10.00,,,,,,,,
,2023-24,Prizm Monopoly,Austin Reaves,42,Walking man,,,5/4/2024,480 card show,$15.00,,,,,,,,
Soccer,1996-97,Panini Calcio,Alessandro Del Piero,131,,,,5/5/2024,eBay,$16.89,,,,,,,,
Soccer,1994-95,Upper Deck World Cup,Bebeto,75,,,,5/8/2024,eBay,$2.08,,,,,,,,
Baseball,1993-94,Topps,Derek Jeter,98,Rookie,9,,5/8/2024,eBay,$20.60,,,,,,,,
,2002-03,Panini FIFA World Cup,Ronaldo,37,,,,5/8/2024,eBay,$21.76,,,,,,,,
,1997-98,Upper Deck,David Beckham,18,,8.5,,5/10/2024,eBay,$32.66,,,,,,,,
,2018-19,Donruss Optic,Paul Pogba,133,Silver Prizm,9,,5/11/2024,eBay,$9.45,,,,,,,,
,2016-17,Panini UEFA Euro Prizm,Cristiano Ronaldo,97,,,,5/11/2024,eBay,$10.90,1/15/25,12.75,,,,,1.85,0.1697
,2019-20,Donruss Optic,Zion Williamson,1,"The Rookies, Silver",9,,5/11/2024,eBay,$11.95,,,,,,,,
,2019-20,Donruss Optic,Zion Williamson,158,Rookie Pink Hyper,9,,5/11/2024,eBay,$11.95,,,,,,,,
,2006-07,Panini FIFA World Cup,David Beckham,93,,,,5/11/2024,eBay,$3.07,,,,,,,,
,2006-07,Panini FIFA World Cup,Alessandro Del Piero,130,,10,,5/13/2024,eBay,$72.24,,,,,,,,
,2014-15,Prizm,Davonta Freeman,272,Rookie Panini Logo,,,5/14/2024,eBay,$2.73,,,,,,,,
,2020-21,Topps Finest,Paul Pogba,34,Gold /25,,,5/15/2024,eBay,$19.62,,,,,,,,
,2014-15,Topps Chrome,Johnny Manziel,169,RC Orange,,,5/15/2024,eBay,$3.37,,,,,,,,
,2006-07,Panini FIFA World Cup,Italy,21,,,,5/16/2024,eBay,$8.18,,,,,,,,
,2016-17,Select UEFA,Patrice Evra,,Patch,,,5/16/2024,eBay,$8.18,,,,,,,,
,2006-07,Panini FIFA World Cup,Gigi Buffon,120,,,,5/16/2024,eBay,$8.18,,,,,,,,
,2014-15,Prizm,Paul Pogba,79,,,,5/16/2024,eBay,$8.18,,,,,,,,
